Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
AO-73       11/20/2024 3:54:45 AM    4:07:48 AM     00:13:03   285.8°    43.9°
AO-07       11/20/2024 5:39:42 AM    6:02:20 AM     00:22:38   102.9°    53.4°
IO-117      11/20/2024 6:47:16 AM    8:07:24 AM     01:20:08   294.1°    68.1°
RS-44       11/20/2024 7:49:43 AM    8:12:36 AM     00:22:53    82.6°    70.2°
CAS-4A      11/20/2024 9:22:44 AM    9:34:37 AM     00:11:53    36.6°    75.5°
AO-73       11/20/2024 2:37:21 PM    2:49:48 PM     00:12:27    75.0°    48.1°
ISS         11/20/2024 2:52:52 PM    3:03:38 PM     00:10:46   129.5°    30.2°
IO-117      11/20/2024 3:21:39 PM    4:41:51 PM     01:20:12    66.1°    69.0°
AO-07       11/20/2024 4:32:02 PM    4:54:12 PM     00:22:10    66.5°    45.0°
AO-07       11/20/2024 6:25:00 PM    6:46:41 PM     00:21:41   259.5°    33.0°
XW-2B       11/20/2024 7:50:17 PM    7:57:34 PM     00:07:17   266.8°    75.0°
RS-44       11/20/2024 8:22:02 PM    8:42:29 PM     00:20:27    91.2°    68.4°
CAS-4A      11/21/2024 2:07:46 AM    2:19:27 AM     00:11:41   144.6°    77.4°
AO-73       11/21/2024 3:58:28 AM    4:11:24 AM     00:12:56   286.2°    39.4°
IO-117      11/21/2024 5:08:38 AM    6:26:48 AM     01:18:10    99.4°    73.3°
AO-07       11/21/2024 6:32:25 AM    6:55:15 AM     00:22:50   290.3°    70.7°
RS-44       11/21/2024 8:13:26 AM    8:36:21 AM     00:22:55   268.7°    74.1°
CAS-4A      11/21/2024 8:42:57 AM    8:54:47 AM     00:11:50    30.9°    56.5°
IO-117      11/21/2024 1:39:11 PM    2:57:45 PM     01:18:34    49.4°    39.2°
AO-73       11/21/2024 2:40:57 PM    2:53:29 PM     00:12:32    74.3°    54.4°
ISS         11/21/2024 3:38:32 PM    3:49:27 PM     00:10:55   318.4°    32.9°
AO-07       11/21/2024 5:24:09 PM    5:47:17 PM     00:23:08   245.2°    84.3°
IO-117      11/21/2024 5:38:26 PM    6:53:41 PM     01:15:15   265.1°    54.1°
RS-44       11/21/2024 8:45:42 PM    9:06:15 PM     00:20:33   277.8°    71.2°
CAS-4A      11/22/2024 1:27:57 AM    1:39:32 AM     00:11:35   143.5°    55.6°
IO-117      11/22/2024 3:35:30 AM    4:46:05 AM     01:10:35    89.3°    38.3°
AO-07       11/22/2024 5:32:40 AM    5:55:06 AM     00:22:26   102.5°    47.5°
IO-117      11/22/2024 7:24:31 AM    8:44:12 AM     01:19:41   300.8°    52.0°
AO-07       11/22/2024 7:25:45 AM    7:46:45 AM     00:21:00   296.7°    31.7°
CAS-4A      11/22/2024 8:03:04 AM    8:14:46 AM     00:11:42    30.1°    43.0°
RS-44       11/22/2024 8:37:24 AM    8:59:36 AM     00:22:12   270.6°    45.3°
AO-73       11/22/2024 2:44:30 PM    2:57:06 PM     00:12:36    77.4°    61.5°
ISS         11/22/2024 2:47:33 PM    2:58:45 PM     00:11:12   319.2°    72.9°
IO-117      11/22/2024 3:57:59 PM    5:17:44 PM     01:19:45    82.4°    87.6°
AO-07       11/22/2024 4:25:08 PM    4:47:01 PM     00:21:53    65.9°    40.2°
AO-07       11/22/2024 6:17:40 PM    6:39:41 PM     00:22:01   259.6°    37.2°
RS-44       11/22/2024 9:09:53 PM    9:29:46 PM     00:19:53   280.0°    40.8°
ISS        11/22/2024 10:56:47 PM   11:07:53 PM     00:11:06   349.7°    88.2°
CAS-4A     11/23/2024 12:48:04 AM   12:59:29 AM     00:11:25   142.4°    39.7°
IO-117      11/23/2024 5:43:18 AM    7:02:58 AM     01:19:40   287.5°    87.3°
AO-07       11/23/2024 6:25:17 AM    6:48:12 AM     00:22:55   287.0°    78.5°
RS-44       11/23/2024 7:07:39 AM    7:30:20 AM     00:22:41    81.7°    49.2°
CAS-4A      11/23/2024 7:23:04 AM    7:34:36 AM     00:11:32    27.4°    33.8°
ISS         11/23/2024 1:56:47 PM    2:07:50 PM     00:11:03   130.5°    46.7°
IO-117      11/23/2024 2:16:46 PM    3:36:33 PM     01:19:47    59.8°    52.3°
AO-73       11/23/2024 2:48:00 PM    3:00:40 PM     00:12:40    76.4°    69.4°
AO-07       11/23/2024 5:17:04 PM    5:40:10 PM     00:23:06    85.4°    87.4°
